,loss,precision,binary_accuracy,recall,val_loss,val_precision,val_binary_accuracy,val_recall
47,0.0004905565292574465,1.0,1.0,1.0,4.39830207824707,0.7894737124443054,0.7096773982048035,0.75
48,0.00042549491627141833,1.0,1.0,1.0,4.426708221435547,0.7894737124443054,0.7096773982048035,0.75
49,0.00037796443211846054,1.0,1.0,1.0,4.4549560546875,0.7894737124443054,0.7096773982048035,0.75
50,0.0003252957540098578,1.0,1.0,1.0,4.48241662979126,0.7894737124443054,0.7096773982048035,0.75
51,0.0002882368862628937,1.0,1.0,1.0,4.503315448760986,0.7894737124443054,0.7096773982048035,0.75
52,0.0002665316278580576,1.0,1.0,1.0,4.519317626953125,0.7894737124443054,0.7096773982048035,0.75
53,0.00023255127598531544,1.0,1.0,1.0,4.530429840087891,0.7894737124443054,0.7096773982048035,0.75
54,0.0002186304482165724,1.0,1.0,1.0,4.539552211761475,0.7894737124443054,0.7096773982048035,0.75
55,0.00019817269640043378,1.0,1.0,1.0,4.550999641418457,0.7894737124443054,0.7096773982048035,0.75
56,0.00018182393978349864,1.0,1.0,1.0,4.559859752655029,0.7894737124443054,0.7096773982048035,0.75
57,0.00017027274589054286,1.0,1.0,1.0,4.570027828216553,0.7894737124443054,0.7096773982048035,0.75
58,0.00015462296141777188,1.0,1.0,1.0,4.578028678894043,0.7894737124443054,0.7096773982048035,0.75
59,0.00014520241529680789,1.0,1.0,1.0,4.586624622344971,0.7894737124443054,0.7096773982048035,0.75
60,0.00013486079114954919,1.0,1.0,1.0,4.597243785858154,0.7894737124443054,0.7096773982048035,0.75
61,0.00012699508806690574,1.0,1.0,1.0,4.607321739196777,0.7894737124443054,0.7096773982048035,0.75
62,0.00011815803009085357,1.0,1.0,1.0,4.6148905754089355,0.7894737124443054,0.7096773982048035,0.75
63,0.00011122698924737051,1.0,1.0,1.0,4.625563144683838,0.7894737124443054,0.7096773982048035,0.75
64,0.00010468718392075971,1.0,1.0,1.0,4.63620662689209,0.7894737124443054,0.7096773982048035,0.75
65,9.838500409387052e-05,1.0,1.0,1.0,4.6447672843933105,0.7894737124443054,0.7096773982048035,0.75
66,9.406644676346332e-05,1.0,1.0,1.0,4.6558732986450195,0.7894737124443054,0.7096773982048035,0.75
67,8.83735774550587e-05,1.0,1.0,1.0,4.666833877563477,0.7894737124443054,0.7096773982048035,0.75
68,8.412147872149944e-05,1.0,1.0,1.0,4.677487373352051,0.7894737124443054,0.7096773982048035,0.75
69,7.911119610071182e-05,1.0,1.0,1.0,4.687483310699463,0.7894737124443054,0.7096773982048035,0.75
70,7.583481055917218e-05,1.0,1.0,1.0,4.700133323669434,0.7894737124443054,0.7096773982048035,0.75
71,7.220367842819542e-05,1.0,1.0,1.0,4.712595462799072,0.7894737124443054,0.7096773982048035,0.75
72,6.874115206301212e-05,1.0,1.0,1.0,4.7227559089660645,0.7894737124443054,0.7096773982048035,0.75
73,6.534580461448058e-05,1.0,1.0,1.0,4.732173919677734,0.7894737124443054,0.7096773982048035,0.75
74,6.187591498019174e-05,1.0,1.0,1.0,4.740882396697998,0.7894737124443054,0.7096773982048035,0.75
75,5.905418947804719e-05,1.0,1.0,1.0,4.74928617477417,0.7894737124443054,0.7096773982048035,0.75
76,5.6430635595461354e-05,1.0,1.0,1.0,4.756925106048584,0.7894737124443054,0.7096773982048035,0.75
77,5.385292024584487e-05,1.0,1.0,1.0,4.762587547302246,0.7894737124443054,0.7096773982048035,0.75
78,5.190987576497719e-05,1.0,1.0,1.0,4.7690110206604,0.7894737124443054,0.7096773982048035,0.75
79,4.9794518417911604e-05,1.0,1.0,1.0,4.776421546936035,0.7894737124443054,0.7096773982048035,0.75
80,4.7953442845027894e-05,1.0,1.0,1.0,4.782665729522705,0.7894737124443054,0.7096773982048035,0.75
81,4.581256507663056e-05,1.0,1.0,1.0,4.787867069244385,0.7894737124443054,0.7096773982048035,0.75
82,4.447664105100557e-05,1.0,1.0,1.0,4.792555809020996,0.7894737124443054,0.7096773982048035,0.75
